date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:42:14	327/327	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2029%20Mar%202017%2016:42:13%20GMT	http://www.badaramdwara.org/robots.txt		(from )
16:42:15	11928/11928	---MC-	200	added ('OK')	text/html	date:Wed,%2029%20Mar%202017%2016:42:14%20GMT	http://www.badaramdwara.org/	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/index.html	(from )
16:42:15	11158/11158	---M--	200	added ('OK')	text/css	date:Thu,%2019%20Nov%202015%2009:43:00%20GMT	http://www.badaramdwara.org/styles.css	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/styles.css	(from http://www.badaramdwara.org/)
16:42:16	1666/1666	---M--	200	added ('OK')	text/css	date:Tue,%2014%20Jan%202014%2013:42:40%20GMT	http://www.badaramdwara.org/nivo/default.css	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/nivo/default.css	(from http://www.badaramdwara.org/)
16:42:17	1811/1811	---M--	200	added ('OK')	text/css	date:Tue,%2014%20Jan%202014%2013:43:00%20GMT	http://www.badaramdwara.org/nivo/nivo-slider.css	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/nivo/nivo-slider.css	(from http://www.badaramdwara.org/)
16:42:18	19888/19888	---M--	200	added ('OK')	text/css	date:Tue,%2014%20Jan%202014%2013:43:12%20GMT	http://www.badaramdwara.org/prettyphoto/prettyPhoto.css	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/prettyphoto/prettyPhoto.css	(from http://www.badaramdwara.org/)
16:42:18	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Tue,%2014%20Jan%202014%2010:40:42%20GMT	http://www.badaramdwara.org/favicon.ico	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/favicon.ico	(from http://www.badaramdwara.org/)
16:42:21	1269/1269	---M--	200	added ('OK')	application/javascript	date:Tue,%2014%20Jan%202014%2013:58:40%20GMT	http://www.badaramdwara.org/Scripts/script.js	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/Scripts/script.js	(from http://www.badaramdwara.org/)
16:42:21	338/338	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2029%20Mar%202017%2016:42:20%20GMT	http://www.badaramdwara.org/Scripts/AC_ActiveX.js	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/Scripts/AC_ActiveX.8.delayed	(from http://www.badaramdwara.org/)
16:42:22	24867/24867	---M--	200	added ('OK')	application/javascript	date:Tue,%2014%20Jan%202014%2013:43:08%20GMT	http://www.badaramdwara.org/prettyphoto/jquery.prettyPhoto.js	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/prettyphoto/jquery.prettyPhoto.js	(from http://www.badaramdwara.org/)
16:42:23	8029/8029	---M--	200	added ('OK')	application/javascript	date:Tue,%2014%20Jan%202014%2013:58:38%20GMT	http://www.badaramdwara.org/Scripts/AC_RunActiveContent.js	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/Scripts/AC_RunActiveContent.js	(from http://www.badaramdwara.org/)
16:42:23	1628/1628	---M--	200	added ('OK')	application/javascript	date:Tue,%2014%20Jan%202014%2010:40:48%20GMT	http://www.badaramdwara.org/freecontactformvalidation.js	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/freecontactformvalidation.js	(from http://www.badaramdwara.org/)
16:42:24	91342/91342	---M--	200	added ('OK')	application/javascript	date:Tue,%2014%20Jan%202014%2013:42:44%20GMT	http://www.badaramdwara.org/nivo/jquery-1.6.1.min.js	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/nivo/jquery-1.6.1.min.js	(from http://www.badaramdwara.org/)
16:42:25	9853/9853	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Jan%202014%2011:38:02%20GMT	http://www.badaramdwara.org/images/rm2.png	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/images/rm2.png	(from http://www.badaramdwara.org/)
16:42:26	11928/11928	---MC-	200	added ('OK')	text/html	date:Wed,%2029%20Mar%202017%2016:42:25%20GMT	http://www.badaramdwara.org/index.php	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/index-2.html	(from http://www.badaramdwara.org/)
